References,Description,Manufacturer,MPN,Quantity
J1,4-pin female battery connector,Dongguan Qingping Electronic Technology Co,QP-4P-2.5-001-4.2H,1
J2,4-pin 2.54mm male header,Molex,22-28-4040,1
