References,Description,Manufacturer,MPN,Quantity
J1,4-pin female battery connector,Dongguan Qingping Electronic Technology Co,QP-4P-2.5-102-A,1
J2,4-pin 2.54mm right angle male header,Molex,22-28-6043,1
